name1,name2,is_match,name1_clean,name2_clean,name1_clean,name2_clean,cosine_sim,sbert_sim,jaro_sim,metaphone_match,soundex_match,Levenshtein,jaccard,token_set_ratio,similar_gender,is_abbreviation,predicted_match,match_probability
subodh kumar surgeon doctor in delhi,subodh garg,0,subodh kumar in delhi,subodh garg,subodh kumar in delhi,subodh garg,0.5096730047751941,0.44557083,0.8493506493506493,0,1,12,0.2,0.71,0,0,0,0.10669158
juned shaikh,zarine sheikh,0,juned shaikh,zarine sheikh,juned shaikh,zarine sheikh,0.16214235528047743,0.45270777,0.7606837606837606,0,0,6,0.0,0.4,0,0,0,0.110452875
purnendu roy,r n roy,0,purnendu roy,r n roy,purnendu roy,r n roy,0.40929477518149976,0.5717154,0.7857142857142857,0,0,6,0.25,0.6,0,0,0,0.106695026
prantik chowdhury,prantik jana,0,prantik chowdhury,prantik jana,prantik chowdhury,prantik jana,0.5449755166460442,0.6247313,0.8274509803921569,0,1,9,0.3333333333333333,0.74,0,0,0,0.1096065
bikash chandra ghosh general surgeon,b c ghosh,1,bikash chandra ghosh,b c ghosh,bikash chandra ghosh,b c ghosh,0.557263275301592,0.65978944,0.5444444444444444,0,1,11,0.2,0.71,0,1,0,0.12459114
shankar rao,manikanteswara rao,0,shankar rao,manikanteswara rao,shankar rao,manikanteswara rao,0.26400953982234526,0.6480789,0.6986531986531986,0,0,10,0.3333333333333333,0.62,0,0,0,0.10669158
arun bhardwaj,arun pathak,0,arun bhardwaj,arun pathak,arun bhardwaj,arun pathak,0.33571148752777846,0.7510564,0.8435314685314685,0,1,6,0.3333333333333333,0.58,0,0,0,0.106695026
p thrivikrama rao,manikanteswara rao,0,p thrivikrama rao,manikanteswara rao,p thrivikrama rao,manikanteswara rao,0.17099085734798497,0.6490058,0.6145969498910675,0,0,12,0.25,0.46,1,0,0,0.10669158
rajiv prakash manek,manikarn k,0,rajiv prakash manek,manikarn k,rajiv prakash manek,manikarn k,0.0889634378735666,0.45000014,0.4719298245614035,0,0,13,0.0,0.41,0,0,0,0.110452875
sanjeev vashistha,r k vashishtha,0,sanjeev vashistha,r k vashishtha,sanjeev vashistha,r k vashishtha,0.3727359981769103,0.6651516,0.6341736694677871,0,0,8,0.0,0.65,1,0,0,0.110452875
manmohan kamat,manikarn k,0,manmohan kamat,manikarn k,manmohan kamat,manikarn k,0.11199308469233515,0.44553652,0.638095238095238,0,0,8,0.0,0.58,0,0,0,0.110452875
nandlal thesia,j r thesia,0,nandlal thesia,j r thesia,nandlal thesia,j r thesia,0.6862910163179438,0.60784924,0.5904761904761905,0,0,7,0.25,0.75,1,0,0,0.1093676
mandip s bhangoo surgeon doctor in ludhiana,mandeep singh bangoo,0,mandip s bhangoo in ludhiana,mandeep singh bangoo,mandip s bhangoo in ludhiana,mandeep singh bangoo,0.3998651859030751,0.47992283,0.8326050420168067,0,1,19,0.0,0.58,0,0,0,0.110452875
jameel akhter,k m jammeel,0,jameel akhter,k m jammeel,jameel akhter,k m jammeel,0.4046893594225388,0.6183654,0.582084582084582,0,0,10,0.0,0.5,0,0,0,0.110452875
